Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00342988110460384,0.0758048857706379,-0.0126791518273465,0,0,0,15.4748516352473,0.21737681546364,-6.17546120947726E-07,6.73548072296192E-07,0.280704882221397,-5.31706809662726E-05,0.0741097470555598,0,0,0,0,0,0,package://simple_v6/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://simple_v6/meshes/base_link.STL,,零件20-1;轮固定-1;Odin1.stp-1;零件12-3;极简设备承接板（底盘上）-2;极简设备承接板（底盘上）-1;零件12-1;零件12-4;轮固定-4;相机三角支架B-1;相机支撑-1;相机三角支架-1;侧边相机固定支架-1;侧边相机固定支架-3;轮毂固定-3;轮毂固定-2;轮毂固定-4;轮毂固定-1;6020连接-1;云台电机周围-1;云台-偏航电机RoboMaster GM6020-3,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
w1,0.0335201324367846,-0.00569868297037571,0.0921203704087331,0,0,0,3.31697365287811,0.00439594151924213,6.48032868406684E-08,-6.66449000945114E-08,0.00439584749916914,-4.03592017784457E-08,0.00820437786280995,0,0,0,0,0,0,package://simple_v6/meshes/w1.STL,1,1,1,1,0,0,0,0,0,0,package://simple_v6/meshes/w1.STL,,M3508底盘驱动-2;法兰轮-1,Origin_w1,w1,w1,continuous,0.152328939951822,0.103,0.134095970953207,1.57079632679489,-0.16843576907617,1.5707963267949,base_link,0,0,-1,,,,,,,,,,,,
w2,-0.0335188806575483,-0.00570146846854888,0.0921203704140449,0,0,0,3.31697365260453,0.00439582459893803,3.90123596167658E-08,1.40700401975887E-08,0.00439596441947084,7.66318591364945E-08,0.00820437786280877,0,0,0,0,0,0,package://simple_v6/meshes/w2.STL,1,1,1,1,0,0,0,0,0,0,package://simple_v6/meshes/w2.STL,,M3508底盘驱动-3;法兰轮-5,Origin_w2,w2,w2,continuous,-0.145471060048178,0.103,0.134095970953207,1.57079632679489,0.16843576907617,-1.5707963267949,base_link,0,0,-1,,,,,,,,,,,,
w3,-0.0163815251051646,-0.0297947915372951,0.0921203704087962,0,0,0,3.31697365287511,0.00439581452175816,-3.37901916028834E-09,-7.31472643505175E-09,0.00439597449665313,7.75686963435769E-08,0.00820437786280998,0,0,0,0,0,0,package://simple_v6/meshes/w3.STL,1,1,1,1,0,0,0,0,0,0,package://simple_v6/meshes/w3.STL,,M3508底盘驱动-4;法兰轮-6,Origin_w3,w3,w3,continuous,-0.145471060048178,0.102999999999999,-0.155904029046793,1.57079632679489,1.06806361303278,-1.5707963267949,base_link,0,0,-1,,,,,,,,,,,,
w4,0.0163834876616357,-0.0297924518098171,0.0921203704159532,0,0,0,3.31697365250624,0.00439596849533424,3.05853247819544E-08,-7.51126888346588E-08,0.0043958205230739,-2.07000445731688E-08,0.00820437786280842,0,0,0,0,0,0,package://simple_v6/meshes/w4.STL,1,1,1,1,0,0,0,0,0,0,package://simple_v6/meshes/w4.STL,,M3508底盘驱动-1;法兰轮-2,Origin_w4,w4,w4,continuous,0.152328939951822,0.102999999999999,-0.155904029046793,1.57079632679489,-1.06806361303278,1.5707963267949,base_link,0,0,-1,,,,,,,,,,,,
yuntai,-2.5637757964346E-07,-0.110169069602299,-0.0784992077231397,0,0,0,0.904884147270093,0.00311178538498172,4.72925129736929E-06,6.19240417083107E-07,0.0025251066654015,-2.23541087825991E-05,0.00263526415654357,0,0,0,0,0,0,package://simple_v6/meshes/yuntai.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_v6/meshes/yuntai.STL,,云台中央保护套-2;云台底座-1;轴承-1;轴承外固-1;云台架貳-2;云台架貳-1,Origin_yaw,yaw,yaw,fixed,-0.0738710600481814,-0.166,-0.0109040290468001,3.14159265358979,1.5707963267949,0,base_link,1,0,0,,,,,,,,,,,,
pitch,-0.0772695318878126,0.0326598382404958,-0.0474066970277468,0,0,0,1.90241501200622,0.0021941081471964,3.19697219355379E-10,-3.42069944155675E-06,0.00512780545767912,2.60726514964611E-05,0.00325257938604102,0,0,0,0,0,0,package://simple_v6/meshes/pitch.STL,1,1,1,1,0,0,0,0,0,0,package://simple_v6/meshes/pitch.STL,,海康相机-1;发射底板-1;海康相机保护打印件-1;上挡板-1;零件13-1;云台连接块-2;云台连接块-1;零件16-1;零件14-1;零件15-1,Origin_ph,pitch,ph,continuous,0,0.01,0,3.14050535389669,-1.5707963267949,0,yuntai,-1,0,0,0,0,0,0,,,,,,,,
leida,-6.70843891956881E-05,0.00142859560598621,0.0183157980078029,0,0,0,0.224138920084812,9.82520762919608E-05,-2.15936634694029E-07,1.20856551604039E-06,0.000207409840818258,1.49309321807351E-07,0.000241137504614476,0,0,0,0,0,0,package://simple_v6/meshes/leida.STL,1,1,1,1,0,0,0,0,0,0,package://simple_v6/meshes/leida.STL,,Odin1.stp-1,Origin_ld,Axis_ld,ld,fixed,0.00342893995182154,-0.0120000000000005,0.139095970953207,0,0,0,base_link,0,0,0,,,,,,,,,,,,
xj1,-5.3776427755281E-17,0.0660110229373988,0.0284188128778561,0,0,0,0.0702201485513357,6.8924576094566E-05,-1.50919670614972E-21,-6.17675307837514E-21,6.47726594190448E-05,-1.57023483082672E-05,1.3224610350669E-05,0,0,0,0,0,0,package://simple_v6/meshes/xj1.STL,1,1,1,1,0,0,0,0,0,0,package://simple_v6/meshes/xj1.STL,,海康相机-2,Origin_xj1,Axis_xj1,xj1,fixed,0.163428939951822,-0.0135000000000005,-0.0109040290467929,0,-1.5707963267949,0,base_link,0,0,0,,,,,,,,,,,,
xj2,5.55111512312578E-17,0.0660110229373987,0.0284188128778561,0,0,0,0.0702201485513357,6.89245760945659E-05,-4.50123854327909E-22,4.00555336197713E-21,6.47726594190448E-05,-1.57023483082672E-05,1.3224610350669E-05,0,0,0,0,0,0,package://simple_v6/meshes/xj2.STL,1,1,1,1,0,0,0,0,0,0,package://simple_v6/meshes/xj2.STL,,海康相机-4,Origin_xj2,Axis_xj2,xj2,fixed,-0.156571060048178,-0.0135000000000005,-0.0109040290467929,3.14159265358979,1.5707963267949,0,base_link,0,0,0,,,,,,,,,,,,
xj3,5.55111512312578E-17,0.00131485474518428,0.0633800194825994,0,0,0,0.0702201485513358,6.8924576094566E-05,-2.84496811484628E-21,1.66960589847858E-21,6.88359580916203E-05,4.53852695686594E-06,9.16131167809349E-06,0,0,0,0,0,0,package://simple_v6/meshes/xj3.STL,1,1,1,1,0,0,0,0,0,0,package://simple_v6/meshes/xj3.STL,,海康相机-6,Origin_xj3,Axis_xj3,xj3,fixed,0.227928939951822,-0.107,-0.229404029046793,1.5707963267949,-1.5707963267949,0,base_link,0,0,0,,,,,,,,,,,,
xj4,0,0.00131485474518436,0.0633800194825994,0,0,0,0.0702201485513357,6.8924576094566E-05,-1.61553034878437E-21,-8.98356059370655E-21,6.88359580916203E-05,4.5385269568659E-06,9.16131167809348E-06,0,0,0,0,0,0,package://simple_v6/meshes/xj4.STL,1,1,1,1,0,0,0,0,0,0,package://simple_v6/meshes/xj4.STL,,海康相机-5,Origin_xj4,Axis_xj4,xj4,fixed,-0.221071060048178,-0.107,-0.229404029046793,1.5707963267949,1.5707963267949,0,base_link,0,0,0,,,,,,,,,,,,
